Target,Type,URL,Contact Method,Pitch Angle,Status,Notes
Lilach Bullock (Web Design Write For Us),Guest post,https://www.lilachbullock.com/write-for-us-web-design/,"Email lilach@lilachbullock.com (the /write-for-me/ page is NOT a form - no pitch field exists on it, it just says ""email us your contribution""; confirmed live via browser 2026-09-14)",TTFB/1205-post-revisions technical case study (the version in outreach-pitch-drafts.md, not the R1 rewrite),SENT 2026-09-14,"Sent via send_lilach_pitch.py from ceo@azwebcorp.com, confirmed SENT OK + filed in Sent. Correction for next time: their guidelines say 600+ words fully original when writing the full piece, but the pitch itself (what was sent) is a short pitch email, consistent with ""pitch or finished draft"" wording found on the page. No reply yet - check back in a few weeks."
That! Company (Write For Us),Guest post,https://www.thatcompany.com/write-for-us,"CORRECTED: the writer-introduction form is actually a generic sales-lead intake form (Company/Name/Email/Phone/'Do you run a marketing agency?'/services interested in/'what offer' - all multiple choice, plus a texting-consent checkbox) - no free-text pitch field found, not a real guest-post submission mechanism despite the write-for-us page pointing there","SEO/local-search technical angle (geo-coordinate schema bugs, GEO/AI-crawler visibility work) — site explicitly wants writers who've built a real relationship first, not a cold pitch",not contacted - flagged as risky,DOWNGRADED after re-checking the actual form: submitting here risks landing in a sales funnel (consent checkbox authorizes marketing texts) rather than reaching an editor. Recommend not pursuing unless a real editorial contact is found separately. See outreach-pitch-drafts.md for details
In Business Magazine Phoenix,Local press / guest column,https://inbusinessphx.com/,"Confirmed real contact: editorial@inmediacompany.com, RaeAnne Marsh (Editor) via inbusinessphx.com/contact-us/",Local angle: Gilbert-based agency perspective on small-business web presence / AI search visibility (GEO) for Phoenix-metro business owners — has an active 'Guest Columnists' department,"COMPLETE - accepted, headshot sent, awaiting October publication","Article ""Why Your Business Might Be Invisible to AI Search"" (605 words) ACCEPTED with no edits by RaeAnne Marsh for the OCTOBER Technology page. Headshot (1024x1024) sent 2026-08-26, in-thread, with an offer of higher-res if print needs it. NOTHING FURTHER OWED. WATCH: print edition ~late Sept/Oct, then the web version goes up at inbusinessphx.com/department/technology later in the production cycle - the BACKLINK only exists once the web version publishes, so do not expect it with print. Likely URL pattern: inbusinessphx.com/technology-innovation/<slug>. A formal Guest Column remains a separate arrangement she said she would consider later."
Phoenix Business Journal,Local press,https://www.bizjournals.com/phoenix/,General contact via bizjournals.com,"Local business feature / expert commentary opportunity - large paid-circulation outlet, harder to get unsolicited coverage without a news hook (award, milestone, data study)",not contacted,"Did not find a self-serve contributor path - likely needs a real news hook (raw traffic-data study, milestone) or PR outreach rather than a cold pitch"
AZ Big Media / AZ Business Magazine,Local press,https://azbigmedia.com/category/business/,General contact via azbigmedia.com,Local business feature angle similar to above,not contacted,"Same caveat as Phoenix Business Journal - no self-serve submission path found, would need a genuine news hook"
Gilbert Chamber of Commerce,Local business directory / member spotlight,https://business.gilbertaz.com/list,"Phone (480) 892-0056, or Join Today link on gilbertaz.com",Real Gilbert-based business - directory listing + eligible for their rotating 'Member Spotlight News' feature (both link back),not contacted,"Confirmed this is membership-based (already flagged in citations-and-backlink-plan.md as 'likely paid') - pricing not published online, needs a phone call to get actual dues amount before deciding"
Arizona Small Business Association (ASBA),Local business association,https://www.asba.com/,General contact via asba.com,Membership directory listing + possible blog/news contribution,not contacted,Redirects to members.asba.com/news - appears to be a real associaton but membership terms/cost not confirmed from public pages alone
DesignRush - Arizona Web Design listing,Industry directory (earned/paid mix),https://www.designrush.com/agency/website-design-development/arizona,'List Your Agency' button on designrush.com,Straightforward category listing - already in Tier 2 of citations-and-backlink-plan.md,not contacted,"Confirmed has both organic and paid-partnership listing tiers - organic submission may be free, exact terms need checking on their own submission flow (not fully visible via fetch)"
The Phoenix Review - Best Web Design Agencies,Resource/roundup page inclusion,https://www.thephoenixreview.com/best-web-design-phoenix/,General 'Contact us' link (no dedicated submission form found),"Pitch for inclusion in their 29-agency Phoenix roundup - real, actively-updated listicle (last updated April 2026)",not contacted,No formal submission/suggestion process visible on the page itself - a cold pitch via their contact form is the only path found
Qwoted,Journalist source-request platform,https://www.qwoted.com/,Free account signup at qwoted.com (support@qwoted.com for questions),"Respond to reporter queries on web design/SEO/small business topics as an Arizona-based agency owner voice - earns an editorial link when quoted, not a guaranteed link",setup notes ready - not signed up,"Saved-search list sharpened 2026-08-25 (added indexing, Google Search Console, crawl budget, technical SEO audit, site not indexed) plus a ready-to-paste quotable line - see R5."
